timestamp,subdir,target,compiled,ran,ok,phase,output_len
2025-10-06 15:29:11,pair18,fixed,True,True,True,run,151
2025-10-06 15:29:11,pair18,vulnerable,True,True,False,run,491
2025-10-06 15:29:12,pair12,fixed,True,True,True,run,158
2025-10-06 15:29:12,pair12,vulnerable,True,True,True,run,158
2025-10-06 15:29:13,pair20,fixed,True,True,True,run,155
2025-10-06 15:29:13,pair20,vulnerable,False,False,False,compile,578
2025-10-06 15:29:14,pair4,fixed,True,True,True,run,154
2025-10-06 15:29:14,pair4,vulnerable,True,True,True,run,154
2025-10-06 15:29:15,pair9,fixed,True,True,True,run,143
2025-10-06 15:29:15,pair9,vulnerable,False,False,False,compile,376
2025-10-06 15:29:16,pair3,fixed,True,True,True,run,143
2025-10-06 15:29:16,pair3,vulnerable,True,True,False,run,453
2025-10-06 15:29:17,pair15,fixed,True,True,True,run,154
2025-10-06 15:29:17,pair15,vulnerable,True,True,False,run,507
2025-10-06 15:29:18,pair11,fixed,True,True,True,run,154
2025-10-06 15:29:18,pair11,vulnerable,True,True,True,run,154
2025-10-06 15:29:19,pair7,fixed,True,True,True,run,154
2025-10-06 15:29:19,pair7,vulnerable,True,True,True,run,154
2025-10-06 15:29:20,pair16,fixed,True,True,True,run,155
2025-10-06 15:29:20,pair16,vulnerable,True,True,True,run,155
2025-10-06 15:29:21,pair14,fixed,True,True,True,run,138
2025-10-06 15:29:21,pair14,vulnerable,True,True,False,run,469
2025-10-06 15:39:22,pair2,fixed,True,True,True,run,146
2025-10-06 15:39:22,pair2,vulnerable,True,False,False,run,12
2025-10-06 15:39:23,pair8,fixed,True,True,True,run,143
2025-10-06 15:39:23,pair8,vulnerable,True,True,False,run,460
2025-10-06 15:39:25,pair5,fixed,True,True,True,run,150
2025-10-06 15:39:25,pair5,vulnerable,True,True,False,run,529
2025-10-06 15:39:26,pair13,fixed,True,True,True,run,153
2025-10-06 15:39:26,pair13,vulnerable,True,True,True,run,153
2025-10-06 15:39:27,pair19,fixed,True,True,True,run,155
2025-10-06 15:39:27,pair19,vulnerable,True,True,False,run,523
2025-10-06 15:39:28,pair17,fixed,True,True,True,run,158
2025-10-06 15:39:28,pair17,vulnerable,True,True,False,run,646
2025-10-06 15:39:30,pair1,fixed,True,True,True,run,153
2025-10-06 15:39:30,pair1,vulnerable,True,True,True,run,153
2025-10-06 15:39:30,pair6,fixed,True,True,True,run,158
2025-10-06 15:39:30,pair6,vulnerable,False,False,False,compile,815
2025-10-06 15:39:31,pair10,fixed,True,True,True,run,156
2025-10-06 15:39:31,pair10,vulnerable,True,True,False,run,523
2025-10-06 15:39:32,pair18,fixed,True,True,True,run,151
2025-10-06 15:39:32,pair18,vulnerable,True,True,False,run,491
2025-10-06 15:39:34,pair12,fixed,True,True,True,run,158
2025-10-06 15:39:34,pair12,vulnerable,True,True,True,run,158
2025-10-06 15:39:34,pair20,fixed,True,True,True,run,155
2025-10-06 15:39:34,pair20,vulnerable,False,False,False,compile,578
2025-10-06 15:39:35,pair4,fixed,True,True,True,run,154
2025-10-06 15:39:35,pair4,vulnerable,True,True,True,run,154
2025-10-06 15:39:36,pair9,fixed,True,True,True,run,143
2025-10-06 15:39:36,pair9,vulnerable,False,False,False,compile,376
2025-10-06 15:39:37,pair3,fixed,True,True,True,run,143
2025-10-06 15:39:37,pair3,vulnerable,True,True,False,run,453
2025-10-06 15:39:38,pair15,fixed,True,True,True,run,154
2025-10-06 15:39:38,pair15,vulnerable,True,True,False,run,507
2025-10-06 15:39:39,pair11,fixed,True,True,True,run,154
2025-10-06 15:39:39,pair11,vulnerable,True,True,True,run,154
2025-10-06 15:39:41,pair7,fixed,True,True,True,run,154
2025-10-06 15:39:41,pair7,vulnerable,True,True,True,run,154
2025-10-06 15:39:41,pair16,fixed,True,True,True,run,155
2025-10-06 15:39:41,pair16,vulnerable,True,True,True,run,155
2025-10-06 15:39:43,pair14,fixed,True,True,True,run,138
2025-10-06 15:39:43,pair14,vulnerable,True,True,False,run,469
2025-10-06 15:49:44,pair2,fixed,True,True,True,run,146
2025-10-06 15:49:44,pair2,vulnerable,True,False,False,run,12
2025-10-06 15:49:45,pair8,fixed,True,True,True,run,143
2025-10-06 15:49:45,pair8,vulnerable,True,True,False,run,460
2025-10-06 15:49:46,pair5,fixed,True,True,True,run,150
2025-10-06 15:49:46,pair5,vulnerable,True,True,False,run,529
2025-10-06 15:49:47,pair13,fixed,True,True,True,run,153
2025-10-06 15:49:47,pair13,vulnerable,True,True,True,run,153
2025-10-06 15:49:49,pair19,fixed,True,True,True,run,155
2025-10-06 15:49:49,pair19,vulnerable,True,True,False,run,522
2025-10-06 15:49:50,pair17,fixed,True,True,True,run,158
2025-10-06 15:49:50,pair17,vulnerable,True,True,False,run,646
2025-10-06 15:49:51,pair1,fixed,True,True,True,run,153
2025-10-06 15:49:51,pair1,vulnerable,True,True,True,run,153
2025-10-06 15:49:51,pair6,fixed,True,True,True,run,158
2025-10-06 15:49:51,pair6,vulnerable,False,False,False,compile,815
2025-10-06 15:49:53,pair10,fixed,True,True,True,run,156
2025-10-06 15:49:53,pair10,vulnerable,True,True,False,run,523
