timestamp,subdir,target,compiled,ran,ok,phase,output_len
2025-10-06 00:08:00,pair6,fixed,True,True,True,run,143
2025-10-06 00:08:00,pair6,vulnerable,True,True,False,run,441
2025-10-06 00:08:01,pair17,fixed,True,True,True,run,157
2025-10-06 00:08:01,pair17,vulnerable,True,True,False,run,699
2025-10-06 00:08:02,pair10,fixed,True,True,True,run,138
2025-10-06 00:08:02,pair10,vulnerable,True,True,False,run,571
2025-10-06 00:08:03,pair1,fixed,True,True,True,run,153
2025-10-06 00:08:03,pair1,vulnerable,True,True,False,run,649
2025-10-06 00:08:03,pair5,fixed,True,True,True,run,152
2025-10-06 00:08:03,pair5,vulnerable,False,False,False,compile,576
2025-10-06 00:08:04,pair14,fixed,True,True,True,run,147
2025-10-06 00:08:04,pair14,vulnerable,True,True,True,run,147
2025-10-06 00:08:05,pair19,fixed,True,True,True,run,143
2025-10-06 00:08:05,pair19,vulnerable,False,False,False,compile,594
2025-10-06 00:08:06,pair13,fixed,True,True,True,run,156
2025-10-06 00:08:06,pair13,vulnerable,True,True,False,run,659
2025-10-06 00:08:06,pair2,fixed,True,True,True,run,143
2025-10-06 00:08:06,pair2,vulnerable,False,False,False,compile,432
2025-10-06 00:08:07,pair8,fixed,True,True,True,run,144
2025-10-06 00:08:07,pair8,vulnerable,False,False,False,compile,310
2025-10-06 00:08:08,pair11,fixed,True,True,True,run,154
2025-10-06 00:08:08,pair11,vulnerable,True,True,False,run,488
2025-10-06 00:08:09,pair7,fixed,True,True,True,run,149
2025-10-06 00:08:09,pair7,vulnerable,True,True,False,run,638
2025-10-06 00:08:10,pair16,fixed,True,True,True,run,192
2025-10-06 00:08:10,pair16,vulnerable,True,True,False,run,599
2025-10-06 00:08:11,pair12,fixed,True,True,True,run,150
2025-10-06 00:08:11,pair12,vulnerable,True,True,False,run,629
2025-10-06 00:08:11,pair18,fixed,True,True,True,run,143
2025-10-06 00:08:11,pair18,vulnerable,False,False,False,compile,578
2025-10-06 00:08:12,pair9,fixed,True,True,True,run,145
2025-10-06 00:08:12,pair9,vulnerable,True,True,True,run,145
2025-10-06 00:08:13,pair20,fixed,True,True,True,run,146
2025-10-06 00:08:13,pair20,vulnerable,False,False,False,compile,720
2025-10-06 00:08:14,pair3,fixed,True,True,True,run,145
2025-10-06 00:08:14,pair3,vulnerable,True,True,False,run,747
2025-10-06 00:08:15,pair4,fixed,True,True,False,run,600
